SHORT_CODE,Species,Population,Poptype,Pairs,Most.recent.count
AC,Arctic Skua,Fair Isle,UK SPA pop,19,2013
AC,Arctic Skua,Faroe,Overseas pop,750,2012
AC,Arctic Skua,Fennoscandia,Overseas pop,8000,1990s
AC,Arctic Skua,Fetlar,UK SPA pop,83,2002
AC,Arctic Skua,Foula,UK SPA pop,35,2013
AC,Arctic Skua,High Arctic tundra,Overseas pop,50000,1990s
AC,Arctic Skua,Hoy,UK SPA pop,12,2010
AC,Arctic Skua,Iceland,Overseas pop,7500,1990s
AC,Arctic Skua,Papa Westray,UK SPA pop,22,2012
AC,Arctic Skua,Rousay,UK SPA pop,37,2010
AC,Arctic Skua,UK non-SPA North Sea colonies,UK non-SPA pop,450,2000*
AC,Arctic Skua,UK non-SPA western colonies,UK non-SPA pop,200,2000*
AC,Arctic Skua,West Westray,UK SPA pop,27,2010
AE,Arctic Tern,Auskerry,UK SPA pop,750,2013
AE,Arctic Tern,Baltic States,Overseas pop,8000,1990s
AE,Arctic Tern,Coquet Island,UK SPA pop,1224,2013
AE,Arctic Tern,Fair Isle,UK SPA pop,29,2013
AE,Arctic Tern,Farne Islands,UK SPA pop,1921,2013
AE,Arctic Tern,Faroe,Overseas pop,7600,2012
AE,Arctic Tern,Fennoscandia,Overseas pop,131000,1990s
AE,Arctic Tern,Fetlar,UK SPA pop,21,2012
AE,Arctic Tern,Forth Islands,UK SPA pop,265,2012
AE,Arctic Tern,Foula,UK SPA pop,20,2013
AE,Arctic Tern,Ireland,Overseas pop,2500,2000
AE,Arctic Tern,Mousa,UK SPA pop,18,2013
AE,Arctic Tern,Outer Ards,UK SPA pop,60,2013
AE,Arctic Tern,Papa Stour,UK SPA pop,1172,2000
AE,Arctic Tern,Papa Westray,UK SPA pop,176,2011
AE,Arctic Tern,Pentland Firth Islands,UK SPA pop,0,2007
AE,Arctic Tern,Rousay,UK SPA pop,60,2006
AE,Arctic Tern,Strangford Lough,UK SPA pop,164,2013
AE,Arctic Tern,Sumburgh Head,UK SPA pop,203,2000
AE,Arctic Tern,UK North Sea non-SPA colonies,UK non-SPA pop,26000,2000
AE,Arctic Tern,UK western non-SPA colonies,UK non-SPA pop,15000,2000
AE,Arctic Tern,West Westray,UK SPA pop,500,2009
AE,Arctic Tern,Ynys Feurig; Cemlyn Bay; Skerries,UK SPA pop,550,2011
PU,Atlantic Puffin,Canna and  Sanday,UK SPA pop,945,1999
PU,Atlantic Puffin,Cape Wrath,UK SPA pop,1602,2000
PU,Atlantic Puffin,Coquet Island,UK SPA pop,12344,2013
PU,Atlantic Puffin,East Caithness Cliffs,UK SPA pop,274,1999
PU,Atlantic Puffin,Fair Isle,UK SPA pop,10706,2012
PU,Atlantic Puffin,Farne Islands,UK SPA pop,39962,2013
PU,Atlantic Puffin,Faroe,Overseas pop,550000,2012
PU,Atlantic Puffin,Flamborough and  Filey,UK SPA pop,958,2008
PU,Atlantic Puffin,Flannan Isles,UK SPA pop,15600,2001
PU,Atlantic Puffin,Forth Islands,UK SPA pop,62231,2008-10
PU,Atlantic Puffin,Foula,UK SPA pop,22500,2000
PU,Atlantic Puffin,France,Overseas pop,257,2000
PU,Atlantic Puffin,Hermaness; Saxavord,UK SPA pop,23661,2002
PU,Atlantic Puffin,Hoy,UK SPA pop,3500,2000
PU,Atlantic Puffin,Ireland,Overseas pop,20000,2000
PU,Atlantic Puffin,Mingulay and  Berneray,UK SPA pop,3126,2009
PU,Atlantic Puffin,North Caithness Cliffs,UK SPA pop,976,2000
PU,Atlantic Puffin,North Rona and  Sula Sgeir,UK SPA pop,5442,2001
PU,Atlantic Puffin,Norway,Overseas pop,1750000,2000
PU,Atlantic Puffin,Noss,UK SPA pop,802,2007
PU,Atlantic Puffin,Rathlin Island,UK SPA pop,695,2011
PU,Atlantic Puffin,Shiant Isles,UK SPA pop,65170,2000
PU,Atlantic Puffin,Skomer and Skokholm,UK SPA pop,24114,2013
PU,Atlantic Puffin,St Kilda,UK SPA pop,142264,2000
PU,Atlantic Puffin,Sule Skerry and  Sule Stack,UK SPA pop,59471,1998
PU,Atlantic Puffin,UK N Sea non-SPA colonies,UK non-SPA pop,35000,2000
PU,Atlantic Puffin,UK western non-SPA colonies,UK non-SPA pop,45000,2000
KI,Black-legged Kittiwake,Ailsa Craig,UK SPA pop,489,2013
KI,Black-legged Kittiwake,Buchan Ness to Collieston,UK SPA pop,12542,2007
KI,Black-legged Kittiwake,Calf of Eday,UK SPA pop,747,2006
KI,Black-legged Kittiwake,Canna and  Sanday,UK SPA pop,820,2013
KI,Black-legged Kittiwake,Cape Wrath,UK SPA pop,10344,2000
KI,Black-legged Kittiwake,Copinsay,UK SPA pop,666,2012
KI,Black-legged Kittiwake,East Caithness Cliffs,UK SPA pop,40410,1999
KI,Black-legged Kittiwake,Fair Isle,UK SPA pop,771,2013
KI,Black-legged Kittiwake,Farne Islands,UK SPA pop,3443,2013
KI,Black-legged Kittiwake,Faroe,Overseas pop,200000,2012
KI,Black-legged Kittiwake,Flamborough and Filey,UK SPA pop,37617,2008
KI,Black-legged Kittiwake,Flannan Isles,UK SPA pop,1392,1998
KI,Black-legged Kittiwake,Forth Islands,UK SPA pop,3100,2013
KI,Black-legged Kittiwake,Foula,UK SPA pop,327,2013
KI,Black-legged Kittiwake,Fowlsheugh,UK SPA pop,9337,2012
KI,Black-legged Kittiwake,France,Overseas pop,4000,2010
KI,Black-legged Kittiwake,Germany,Overseas pop,6000,2010
KI,Black-legged Kittiwake,Handa,UK SPA pop,1872,2013
KI,Black-legged Kittiwake,Hermaness; Saxavord,UK SPA pop,391,2009
KI,Black-legged Kittiwake,Hoy,UK SPA pop,397,2007
KI,Black-legged Kittiwake,Ireland,Overseas pop,20000,2000
KI,Black-legged Kittiwake,Marwick Head,UK SPA pop,526,2013
KI,Black-legged Kittiwake,Mingulay and  Berneray,UK SPA pop,2228,2009
KI,Black-legged Kittiwake,North Caithness Cliffs,UK SPA pop,10150,2000
KI,Black-legged Kittiwake,North Colonsay and  Western Cliffs,UK SPA pop,5563,2000
KI,Black-legged Kittiwake,North Rona and  Sula Sgeir,UK SPA pop,1253,2012
KI,Black-legged Kittiwake,Norway,Overseas pop,700000,2010
KI,Black-legged Kittiwake,Noss,UK SPA pop,507,2010
KI,Black-legged Kittiwake,Rathlin Island,UK SPA pop,7922,2011
KI,Black-legged Kittiwake,Rousay,UK SPA pop,1764,2009
KI,Black-legged Kittiwake,Rum,UK SPA pop,788,2000
KI,Black-legged Kittiwake,Russia,Overseas pop,140000,2000
KI,Black-legged Kittiwake,Shiant Isles,UK SPA pop,549,2008
KI,Black-legged Kittiwake,Skomer; Skokholm; Middleholm,UK SPA pop,1045,2013
KI,Black-legged Kittiwake,St Abbs Head to Fast Castle,UK SPA pop,3403,2013
KI,Black-legged Kittiwake,St Kilda,UK SPA pop,957,2008
KI,Black-legged Kittiwake,Sumburgh Head,UK SPA pop,210,2013
KI,Black-legged Kittiwake,Troup; Pennan and  Lions Heads,UK SPA pop,14896,2007
KI,Black-legged Kittiwake,UK North Sea non-SPA colonies,UK non-SPA pop,70000,2000*
KI,Black-legged Kittiwake,UK Western non-SPA colonies,UK non-SPA pop,30000,2000*
KI,Black-legged Kittiwake,West Westray,UK SPA pop,12055,2007
GU,Common Guillemot,Ailsa Craig SPA,UK SPA pop,5247,2013
GU,Common Guillemot,Buchan Ness to Collieston Coast SPA,UK SPA pop,12928,2007
GU,Common Guillemot,Calf of Eday SPA,UK SPA pop,6300,2006
GU,Common Guillemot,Canna and  Sanday SPA,UK SPA pop,3913,1999
GU,Common Guillemot,Cape Wrath SPA,UK SPA pop,27359,2000
GU,Common Guillemot,Copinsay SPA,UK SPA pop,5607,2012
GU,Common Guillemot,East Caithness Cliffs SPA,UK SPA pop,106500,1999
GU,Common Guillemot,Fair Isle SPA,UK SPA pop,13066,2010
GU,Common Guillemot,Farne Islands SPA,UK SPA pop,33532,2013
GU,Common Guillemot,Faroe Islands,Overseas pop,100000,c2000
GU,Common Guillemot,Flamborough and Filey Coast pSPA,UK SPA pop,39641,2008
GU,Common Guillemot,Flannan Isles SPA,UK SPA pop,9807,1999
GU,Common Guillemot,Forth Islands SPA,UK SPA pop,14674,2011
GU,Common Guillemot,Foula SPA,UK SPA pop,16615,2007
GU,Common Guillemot,Fowlsheugh SPA,UK SPA pop,30100,2012
GU,Common Guillemot,Germany and Denmark,Overseas pop,5000,2005
GU,Common Guillemot,Handa SPA,UK SPA pop,37993,2011
GU,Common Guillemot,Hermaness; Saxavord and  Valla Field SPA,UK SPA pop,4620,2009
GU,Common Guillemot,Hoy SPA,UK SPA pop,6300,2007
GU,Common Guillemot,Marwick Head SPA,UK SPA pop,11097,2012
GU,Common Guillemot,Mingulay and  Berneray SPA,UK SPA pop,13527,2009
GU,Common Guillemot,North Caithness Cliffs SPA,UK SPA pop,47000,2000
GU,Common Guillemot,North Colonsay and  western cliffs SPA,UK SPA pop,13500,2000
GU,Common Guillemot,North Colonsay and western cliffs SPA,UK SPA pop,13500,2000
GU,Common Guillemot,North Rona and  Sula Sgeir SPA,UK SPA pop,5000,2012
GU,Common Guillemot,North Sea UK non-SPA populations,UK non-SPA pop,147000,2000
GU,Common Guillemot,Norway,Overseas pop,100000,c2000
GU,Common Guillemot,Noss SPA,UK SPA pop,14783,2009
GU,Common Guillemot,Rathlin Island SPA,UK SPA pop,87398,2011
GU,Common Guillemot,Rousay SPA,UK SPA pop,6200,2009
GU,Common Guillemot,Rum SPA,UK SPA pop,1644,2000
GU,Common Guillemot,Shiant Isles SPA,UK SPA pop,5148,2008
GU,Common Guillemot,Skomer and  Skokholm SPA,UK SPA pop,16300,2013
GU,Common Guillemot,St Abbs Head to Fast Castle SPA,UK SPA pop,22103,2013
GU,Common Guillemot,St Kilda SPA,UK SPA pop,15700,1999
GU,Common Guillemot,Sule Skerry and  Sule Stack SPA,UK SPA pop,7633,1998
GU,Common Guillemot,Sumburgh SPA,UK SPA pop,4762,2010
GU,Common Guillemot,Troup; Pennan and  Lions Heads SPS,UK SPA pop,10938,2007
GU,Common Guillemot,UK North Sea non-SPA populations,UK non-SPA pop,147000,2000
GU,Common Guillemot,UK West coast non-SPA populations,UK non-SPA pop,79000,2000
GU,Common Guillemot,West coast UK non-SPA populations,UK non-SPA pop,79000,2000
GU,Common Guillemot,West Westray SPA,UK SPA pop,33900,2007
CN,Common Tern,Baltic States,Overseas pop,12750,1990s
CN,Common Tern,Breydon Water,UK SPA pop,92,2013
CN,Common Tern,Carlingford Lough,UK SPA pop,119,2013
CN,Common Tern,Coquet Island,UK SPA pop,1041,2013
CN,Common Tern,Cromarty Firth,UK SPA pop,68,2010
CN,Common Tern,Dungeness to Pett Level,UK SPA pop,79,2013
CN,Common Tern,Farne Islands,UK SPA pop,94,2013
CN,Common Tern,Finland,Overseas pop,50000,1990s
CN,Common Tern,Forth Islands,UK SPA pop,26,2011
CN,Common Tern,Foulness,UK SPA pop,25,2008
CN,Common Tern,Germany and  Denmark,Overseas pop,10000,1990s
CN,Common Tern,Glas Eileanan,UK SPA pop,22,2012
CN,Common Tern,Imperial Dock Lock,UK SPA pop,818,2010
