Speccode,Species,Population,Season,Area,Propn.adults,Propn.immatures
AC,Arctic Skua,Fair Isle,autumn migration season (August to October),UK North Sea and Channel waters,0.6,0.4
AC,Arctic Skua,Fair Isle,autumn migration season (August to October),UK western waters,0.4,0.3
AC,Arctic Skua,Fair Isle,spring migration season (April-May),UK North Sea and Channel waters,0.4,0.1
AC,Arctic Skua,Fair Isle,spring migration season (April-May),UK western waters,0.6,0.5
AC,Arctic Skua,Faroe,autumn migration season (August to October),UK North Sea and Channel waters,0.1,0.1
AC,Arctic Skua,Faroe,autumn migration season (August to October),UK western waters,0.1,0.1
AC,Arctic Skua,Faroe,spring migration season (April-May),UK North Sea and Channel waters,0.005,0.001
AC,Arctic Skua,Faroe,spring migration season (April-May),UK western waters,0.05,0.02
AC,Arctic Skua,Fennoscandia,autumn migration season (August to October),UK North Sea and Channel waters,0.1,0.1
AC,Arctic Skua,Fennoscandia,autumn migration season (August to October),UK western waters,0.05,0.05
AC,Arctic Skua,Fennoscandia,spring migration season (April-May),UK North Sea and Channel waters,0.01,0.005
AC,Arctic Skua,Fennoscandia,spring migration season (April-May),UK western waters,0.05,0.03
AC,Arctic Skua,Fetlar,autumn migration season (August to October),UK North Sea and Channel waters,0.6,0.4
AC,Arctic Skua,Fetlar,autumn migration season (August to October),UK western waters,0.4,0.3
AC,Arctic Skua,Fetlar,spring migration season (April-May),UK North Sea and Channel waters,0.4,0.1
AC,Arctic Skua,Fetlar,spring migration season (April-May),UK western waters,0.6,0.5
AC,Arctic Skua,Foula,autumn migration season (August to October),UK North Sea and Channel waters,0.6,0.4
AC,Arctic Skua,Foula,autumn migration season (August to October),UK western waters,0.4,0.3
AC,Arctic Skua,Foula,spring migration season (April-May),UK North Sea and Channel waters,0.4,0.1
AC,Arctic Skua,Foula,spring migration season (April-May),UK western waters,0.6,0.5
AC,Arctic Skua,High Arctic tundra,autumn migration season (August to October),UK North Sea and Channel waters,0.01,0.01
AC,Arctic Skua,High Arctic tundra,autumn migration season (August to October),UK western waters,0.01,0.01
AC,Arctic Skua,High Arctic tundra,spring migration season (April-May),UK North Sea and Channel waters,0.002,0.001
AC,Arctic Skua,High Arctic tundra,spring migration season (April-May),UK western waters,0.01,0.01
AC,Arctic Skua,Hoy,autumn migration season (August to October),UK North Sea and Channel waters,0.6,0.4
AC,Arctic Skua,Hoy,autumn migration season (August to October),UK western waters,0.4,0.3
AC,Arctic Skua,Hoy,spring migration season (April-May),UK North Sea and Channel waters,0.4,0.1
AC,Arctic Skua,Hoy,spring migration season (April-May),UK western waters,0.6,0.5
AC,Arctic Skua,Iceland,autumn migration season (August to October),UK North Sea and Channel waters,0.02,0.02
AC,Arctic Skua,Iceland,autumn migration season (August to October),UK western waters,0.02,0.02
AC,Arctic Skua,Iceland,spring migration season (April-May),UK North Sea and Channel waters,0.005,0.001
AC,Arctic Skua,Iceland,spring migration season (April-May),UK western waters,0.01,0.01
AC,Arctic Skua,Papa Westray,autumn migration season (August to October),UK North Sea and Channel waters,0.6,0.4
AC,Arctic Skua,Papa Westray,autumn migration season (August to October),UK western waters,0.4,0.3
AC,Arctic Skua,Papa Westray,spring migration season (April-May),UK North Sea and Channel waters,0.4,0.1
AC,Arctic Skua,Papa Westray,spring migration season (April-May),UK western waters,0.6,0.5
AC,Arctic Skua,Rousay,autumn migration season (August to October),UK North Sea and Channel waters,0.6,0.4
AC,Arctic Skua,Rousay,autumn migration season (August to October),UK western waters,0.4,0.3
AC,Arctic Skua,Rousay,spring migration season (April-May),UK North Sea and Channel waters,0.4,0.1
AC,Arctic Skua,Rousay,spring migration season (April-May),UK western waters,0.6,0.5
AC,Arctic Skua,UK non-SPA North Sea colonies,autumn migration season (August to October),UK North Sea and Channel waters,0.6,0.4
AC,Arctic Skua,UK non-SPA North Sea colonies,autumn migration season (August to October),UK western waters,0.4,0.3
AC,Arctic Skua,UK non-SPA North Sea colonies,spring migration season (April-May),UK North Sea and Channel waters,0.4,0.1
AC,Arctic Skua,UK non-SPA North Sea colonies,spring migration season (April-May),UK western waters,0.6,0.5
