SPAcode,SPAname,SMP,BDMPS,CEF.desig,CEF.function
UK9009141,Abberton Reservoir,TRUE,TRUE,FALSE,Include in normal way
UK9003091,Ailsa Craig,TRUE,TRUE,TRUE,Include in normal way
UK9009112,Alde-Ore Estuary,FALSE,TRUE,TRUE,Check SMP
UK9013061,Anglesey Terns / Morwenoliaid Ynys Môn,TRUE,FALSE,TRUE,Include but no NB apportioning
UK9002381,Auskerry,TRUE,TRUE,FALSE,Include in normal way
UK9014091,Bae Caerfyrddin/ Carmarthen Bay,FALSE,FALSE,TRUE,Include as marine-only SPA
UK9020101,Belfast Lough,FALSE,FALSE,TRUE,Include as marine-only SPA
UK9020290,Belfast Lough Open Water,FALSE,FALSE,FALSE,Include as marine-only SPA
UK9009291,Benacre to Easton Bavents,TRUE,TRUE,FALSE,Include in normal way
UK9009171,Benfleet and Southend Marshes,FALSE,FALSE,FALSE,Include as marine-only SPA
UK9009245,Blackwater Estuary (Mid-Essex Coast Phase 4),TRUE,TRUE,TRUE,Include in normal way
UK9020312,Bluemull and Colgrave Sounds,FALSE,FALSE,FALSE,Include as marine-only SPA
UK9005151,Bowland Fells,TRUE,TRUE,FALSE,Include in normal way
UK9009181,Breydon Water,TRUE,TRUE,TRUE,Include in normal way
UK9002491,Buchan Ness to Collieston Coast,TRUE,TRUE,TRUE,Include in normal way
UK9015011,Burry Inlet,FALSE,FALSE,FALSE,Include as marine-only SPA
UK9002431,Calf of Eday,TRUE,TRUE,TRUE,Include in normal way
UK9001431,Canna and Sanday,TRUE,TRUE,TRUE,Include in normal way
UK9001231,Cape Wrath,TRUE,TRUE,TRUE,Include in normal way
UK9020161,Carlingford Lough,TRUE,TRUE,TRUE,Include in normal way
UK9010091,Chesil Beach and The Fleet,TRUE,TRUE,TRUE,Include in normal way
UK9011011,Chichester and Langstone Harbours,TRUE,TRUE,TRUE,Include in normal way
UK9020310,Coll and Tiree,FALSE,FALSE,FALSE,Include as marine-only SPA
UK9009243,Colne Estuary (Mid-Essex Coast Phase 2),TRUE,TRUE,TRUE,Include in normal way
UK9020291,Copeland Islands,TRUE,FALSE,FALSE,Include but no NB apportioning
