SITE_CODE,SITE_NAME,CEF.include,Marine.only,Altnames.sufficient,Altnames.SPApolys,Altnames.SMP,Altnames.Productivity,Altnames.BDMPS,Altnames.FR
UK9009141,Abberton Reservoir,NA,NA,NA,NA,NA,NA,NA,NA
UK9002561,Abernethy Forest,NA,NA,NA,NA,NA,NA,NA,NA
UK9001701,Achanalt Marshes,NA,NA,NA,NA,NA,NA,NA,NA
UK9003091,Ailsa Craig,Y,NA,NA,NA,NA,NA,NA,NA
UK9001751,"Aird and Borve, Benbecula",NA,NA,NA,NA,NA,NA,NA,NA
UK9009112,Alde-Ore Estuary,NA,NA,NA,NA,NA,NA,NA,NA
UK9020297,Anagach Woods,NA,NA,NA,NA,NA,NA,NA,NA
UK9013061,Anglesey Terns / Morwenoliaid Ynys Môn,Y,NA,Anglesey Terns / Morwenoliaid Ynys M,NA,"Ynys Feurig, Cemlyn Bay and Skerries",Ynys Feurig. Cemlyn Bay and The Skerries,"Ynys Feurig, Cemlyn Bay, Skerries; Ynys Feurig, Cemlyn Bay; Ynys Feurig, Cemlyn Bay and Skerries",NA
UK9020301,Antrim Hills,NA,NA,NA,NA,NA,NA,NA,NA
UK9003341,Arran Moors,NA,NA,NA,NA,NA,NA,NA,NA
UK9020281,Arun Valley,NA,NA,NA,NA,NA,NA,NA,NA
UK9012181,Ashdown Forest,NA,NA,NA,NA,NA,NA,NA,NA
UK9001591,Assynt Lochs,NA,NA,NA,NA,NA,NA,NA,NA
UK9002381,Auskerry,Y,NA,NA,NA,NA,NA,NA,NA
UK9011091,Avon Valley,NA,NA,NA,NA,NA,NA,NA,NA
UK9014091,Bae Caerfyrddin/ Carmarthen Bay,Y,Y,NA,NA,NA,NA,NA,NA
UK9002781,Ballochbuie,NA,NA,NA,NA,NA,NA,NA,NA
UK9001631,Beinn Dearg,NA,NA,NA,NA,NA,NA,NA,NA
UK9020101,Belfast Lough,NA,NA,NA,NA,NA,NA,NA,NA
UK9020290,Belfast Lough Open Water,Y,Y,NA,NA,NA,NA,NA,NA
UK9002551,Ben Alder,NA,NA,NA,NA,NA,NA,NA,NA
UK9001641,Ben Wyvis,NA,NA,NA,NA,NA,NA,NA,NA
UK9009291,Benacre to Easton Bavents,Y,NA,NA,NA,NA,NA,NA,NA
UK9009171,Benfleet and Southend Marshes,NA,NA,NA,NA,NA,NA,NA,NA
UK9013111,Berwyn,NA,NA,NA,NA,NA,NA,NA,NA
UK9003221,Black Cart,NA,NA,NA,NA,NA,NA,NA,NA
UK9009245,Blackwater Estuary (Mid-Essex Coast Phase 4),Y,NA,NA,NA,NA,NA,Blackwater Estuary,NA
UK9020312,Bluemull and Colgrave Sounds,Y,NA,NA,NA,NA,NA,NA,NA
UK9005151,Bowland Fells,Y,NA,NA,NA,NA,NA,NA,NA
UK9009201,Breckland,NA,NA,NA,NA,NA,NA,NA,NA
UK9009181,Breydon Water,Y,NA,NA,NA,NA,NA,NA,NA
UK9003052,"Bridgend Flats, Islay",NA,NA,NA,NA,NA,NA,NA,NA
UK9009253,Broadland,NA,NA,NA,NA,NA,NA,NA,NA
UK9002491,Buchan Ness to Collieston Coast,Y,NA,NA,NA,NA,NA,Buchan Ness to Collieston,NA
UK9015011,Burry Inlet,NA,NA,NA,NA,NA,NA,NA,NA
UK9004011,Caenlochan,NA,NA,NA,NA,NA,NA,NA,NA
UK9002241,Cairngorms,NA,NA,NA,NA,NA,NA,NA,NA
UK9020308,Cairngorms Massif,NA,NA,NA,NA,NA,NA,NA,NA
UK9001151,Caithness and Sutherland Peatlands,NA,NA,NA,NA,NA,NA,NA,NA
UK9001171,Caithness Lochs,NA,NA,NA,NA,NA,NA,NA,NA
UK9002431,Calf of Eday,Y,NA,NA,NA,NA,NA,NA,NA
UK9004131,Cameron Reservoir,NA,NA,NA,NA,NA,NA,NA,NA
UK9001431,Canna and Sanday,Y,NA,NA,NA,NA,NA,NA,NA
UK9001231,Cape Wrath,Y,NA,NA,NA,NA,NA,NA,NA
UK9020161,Carlingford Lough,Y,NA,NA,NA,NA,NA,NA,NA
UK9003191,"Castle Loch, Lochmaben",NA,NA,NA,NA,NA,NA,NA,NA
UK9014061,Castlemartin Coast,NA,NA,NA,NA,NA,Castlemartin Coast (Berryslade to Barafundle Bay),NA,NA
UK9010091,Chesil Beach and The Fleet,Y,NA,NA,NA,NA,NA,Chesil Beach,NA
UK9010041,Chew Valley Lake,NA,NA,NA,NA,NA,NA,NA,NA
UK9011011,Chichester and Langstone Harbours,Y,NA,NA,NA,NA,NA,Chichester and Langstone Harb; Chichester Harbour,NA
UK9003311,Cnuic agus Cladach Mhuile,NA,NA,NA,NA,NA,NA,NA,NA
UK9003031,Coll,NA,NA,NA,NA,NA,NA,NA,NA
UK9003033,Coll (corncrake),NA,NA,NA,NA,NA,NA,NA,NA
UK9020310,Coll and Tiree,Y,NA,NA,NA,NA,NA,NA,NA
UK9009243,Colne Estuary (Mid-Essex Coast Phase 2),Y,NA,NA,NA,NA,NA,Colne Estuary,NA
UK9020291,Copeland Islands,Y,NA,NA,NA,NA,NA,NA,NA
UK9002151,Copinsay,Y,NA,NA,NA,NA,NA,NA,NA
UK9006031,Coquet Island,Y,NA,NA,NA,NA,NA,NA,NA
UK9020283,Craig yr Aderyn (Bird`s Rock),NA,NA,NA,NA,NA,NA,NA,NA
UK9001801,Craigmore Wood,NA,NA,NA,NA,NA,NA,NA,NA
UK9002161,Creag Meagaidh,NA,NA,NA,NA,NA,NA,NA,NA
UK9001623,Cromarty Firth,Y,NA,NA,NA,NA,NA,NA,NA
UK9009244,Crouch and Roach Estuaries (Mid-Essex Coast Phase 3),NA,NA,NA,NA,NA,NA,NA,NA
UK9001781,Cuillins,NA,NA,NA,NA,NA,NA,NA,NA
UK9020292,Darnaway and Lethen Forest,NA,NA,NA,NA,NA,NA,NA,NA
