SITECODE,CEF.include,Marine,Longitude,Latitude,dat.CELLNO,dat.ATSEA,flt.LONG,flt.LAT,flt.CELLNO,flt.ATSEA,flt.DIST,flt.near,datxy.E,datxy.N,datxy.CELLNO,datxy.ATSEA,fltxy.E,fltxy.N,fltxy.CELLNO,fltxy.ATSEA,fltxy.DIST,fltxy.near
UK9001011,TRUE,FALSE,-5.971111111,59.11083333,1108477,TRUE,-5.97499999999999,59.1137466666667,1108477,TRUE,0.393648133648226,TRUE,3413145.23728322,4103661.67404963,1232389,TRUE,3413466,4103659,1232389,TRUE,320.773862738679,TRUE
UK9001021,TRUE,FALSE,-7.607222222,58.28083333,1265079,TRUE,-7.60833333333332,58.2804133333333,1265079,TRUE,0.0802365383865519,TRUE,3298611.13558653,4035970.85952454,1339510,TRUE,3298466,4035659,1339510,TRUE,343.977763124355,TRUE
UK9001031,TRUE,FALSE,-8.573611111,57.83305556,1349639,TRUE,-8.57499999999999,57.8304133333333,1349639,TRUE,0.305628070298329,TRUE,3230575.86302816,4001989.95146285,1393060,TRUE,3230466,4001659,1393060,TRUE,348.710131372994,TRUE
UK9001041,TRUE,FALSE,-6.37,57.89361111,1337235,TRUE,-6.37499999999999,57.89708,1337235,TRUE,0.487027005360509,TRUE,3358680.65389812,3976763.05966532,1432613,TRUE,3358466,3976659,1432613,TRUE,238.547081145975,TRUE
UK9001051,TRUE,FALSE,-7.366,57.524,1407691,FALSE,-7.37499999999999,57.5137466666667,1409257,TRUE,1.26286171783449,TRUE,3291146.76990303,3950623.05600542,1473548,FALSE,3292466,3949659,1475126,TRUE,1633.94370476888,TRUE
UK9001071,TRUE,FALSE,-7.636,57.523,1407674,TRUE,-7.64166666666666,57.52208,1407674,TRUE,0.354655899191704,TRUE,3275487.1568056,3954446.75083394,1467224,FALSE,3275466,3953659,1468801,TRUE,788.034889327959,TRUE
UK9001082,TRUE,FALSE,-7.376,57.317,1446865,FALSE,-7.40833333333332,57.3137466666667,1446863,TRUE,1.98170859742386,TRUE,3284807.63285379,3928358.94707119,1508235,FALSE,3283466,3929659,1506657,TRUE,1868.18530453433,TRUE
UK9001121,TRUE,FALSE,-7.638888889,56.80416667,1542436,FALSE,-7.62499999999999,56.79708,1544004,TRUE,1.15879952655664,TRUE,3255068.89713548,3876721.90479915,1590210,FALSE,3255466,3875659,1591787,TRUE,1134.66175447551,TRUE
UK9001131,TRUE,FALSE,-3.058333333,58.74166667,1179167,FALSE,-3.05833333333332,58.74708,1177600,TRUE,0.602997793044082,TRUE,3568416.98484362,4029338.3575623,1349242,FALSE,3568466,4028659,1350819,TRUE,681.123471190063,TRUE
UK9001181,TRUE,FALSE,-3.339,58.666,1193253,TRUE,-3.34166666666665,58.6637466666667,1193253,TRUE,0.294870885979688,TRUE,3550821.07565307,4024063.91258579,1358686,TRUE,3550466,4023659,1358686,TRUE,538.547046721511,TRUE
UK9001182,TRUE,FALSE,-3.363,58.264,1268468,TRUE,-3.35833333333332,58.2637466666667,1268468,TRUE,0.275368596196163,TRUE,3540740.1358046,3980345.04550461,1426487,TRUE,3540466,3980659,1426487,TRUE,416.794751092423,TRUE
UK9001231,TRUE,FALSE,-4.942222222,58.61361111,1202559,TRUE,-4.9416666666666504,58.6137466666667,1202559,TRUE,0.0356437482469379,TRUE,3458496.36025408,4036754.88307231,1338093,FALSE,3458466,4037659,1336516,TRUE,904.62653286343,TRUE
UK9001241,TRUE,FALSE,-5.2025,58.38194444,1246419,FALSE,-5.20833333333332,58.3887466666667,1244852,TRUE,0.830959361243386,TRUE,3438032.237593,4014718.92810211,1372767,FALSE,3437466,4014659,1372766,TRUE,569.400025591534,TRUE
UK9001261,TRUE,FALSE,-5.509,57.961,1324751,FALSE,-5.52499999999999,57.9637466666667,1324750,TRUE,0.995293560122009,TRUE,3410014.10320427,3972762.23907952,1438973,TRUE,3410466,3972659,1438973,TRUE,463.539665538086,TRUE
UK9001341,TRUE,FALSE,-6.4069,56.9982,1506469,FALSE,-6.42499999999999,56.9887466666667,1508035,TRUE,1.52269321144996,TRUE,3333005.21805184,3880043.02668871,1585557,FALSE,3331466,3879659,1585555,TRUE,1586.40118152999,TRUE
UK9001431,TRUE,FALSE,-6.541944444,57.05416667,1495492,TRUE,-6.54166666666665,57.0554133333333,1495492,TRUE,0.13984993996741,TRUE,3326520.86753476,3887994.87675469,1572934,TRUE,3326466,3887659,1572934,TRUE,340.328724486422,TRUE
UK9001623,TRUE,FALSE,-4.082,57.723,1370280,TRUE,-4.07499999999998,57.72208,1370280,TRUE,0.429525318815639,TRUE,3487085.55813911,3929337.21500318,1506861,TRUE,3487466,3929659,1506861,TRUE,498.278630584098,TRUE
UK9001624,TRUE,FALSE,-4.358,57.484,1415706,FALSE,-4.35833333333332,57.4887466666667,1414139,TRUE,0.529010544965701,TRUE,3465479.31658045,3906500.62216981,1543110,TRUE,3465466,3906659,1543110,TRUE,158.936680504085,TRUE
UK9002011,TRUE,FALSE,-0.901388889,60.82833333,785979,TRUE,-0.908333333333314,60.8304133333333,785979,TRUE,0.443190081098977,TRUE,3728878.90507357,4237724.53577265,1021386,TRUE,3728466,4237659,1021386,TRUE,418.073602702893,TRUE
UK9002021,TRUE,FALSE,-1.302777778,60.65277778,818862,TRUE,-1.30833333333331,60.6554133333333,818862,TRUE,0.422573177785703,TRUE,3704001.76995878,4221883.69178073,1046594,TRUE,3704466,4221659,1046594,TRUE,515.747930195328,TRUE
UK9002031,TRUE,FALSE,-0.855555556,60.60388889,828291,FALSE,-0.858333333333313,60.5887466666667,831425,TRUE,1.69404048087563,TRUE,3727304.46094021,4212685.65546781,1060810,FALSE,3729466,4212659,1060812,TRUE,2161.70340726415,TRUE
UK9002051,TRUE,FALSE,-1.697,60.336,878385,FALSE,-1.69166666666665,60.34708,876818,TRUE,1.26916465048386,TRUE,3676579.76046062,4190643.02579162,1095453,FALSE,3676466,4191659,1093876,TRUE,1022.32335124553,TRUE
UK9002061,TRUE,FALSE,-2.078611111,60.13416667,917537,FALSE,-2.09166666666665,60.12208,919103,TRUE,1.52971727286589,TRUE,3651769.96566467,4172054.60629043,1125391,FALSE,3650466,4171659,1125390,TRUE,1362.65578619872,TRUE
UK9002081,TRUE,FALSE,-1.012222222,60.14166667,916034,FALSE,-0.991666666666646,60.1387466666667,916035,TRUE,1.18756825490012,TRUE,3710402.37232002,4163238.77450813,1138066,FALSE,3710466,4162659,1139643,TRUE,583.255485985385,TRUE
UK9002091,TRUE,FALSE,-1.628055556,59.53111111,1030388,FALSE,-1.62499999999998,59.52208,1031955,TRUE,1.02086179529766,TRUE,3664931.95560672,4101694.33089763,1235794,FALSE,3665466,4100659,1237372,TRUE,1164.95213703484,TRUE
UK9002101,TRUE,FALSE,-3.051944444,59.30583333,1072611,TRUE,-3.05833333333332,59.3054133333333,1072611,TRUE,0.366937361262266,TRUE,3580789.50819581,4091014.53073215,1253057,TRUE,3580466,4090659,1253057,TRUE,480.686648727238,TRUE
UK9002111,TRUE,FALSE,-2.881,59.378,1058519,FALSE,-2.89166666666665,59.3804133333333,1058518,TRUE,0.663245984601143,TRUE,3591878.86134509,4097142.55970935,1243606,FALSE,3592466,4097659,1242030,TRUE,781.947807655062,TRUE
UK9002121,TRUE,FALSE,-3.3575,59.10833333,1110201,TRUE,-3.35833333333332,59.1054133333333,1110201,TRUE,0.328766160953626,TRUE,3559389.70924483,4072642.87777846,1281422,TRUE,3559466,4072659,1281422,TRUE,77.9756715340121,TRUE
UK9002141,TRUE,FALSE,-3.343055556,58.85861111,1157212,FALSE,-3.39166666666665,58.8554133333333,1157209,TRUE,2.82802236646499,TRUE,3554770.72187155,4045176.48347665,1323996,FALSE,3552466,4045659,1323994,TRUE,2354.69002217455,TRUE
UK9002151,TRUE,FALSE,-2.684722222,58.89777778,1149416,TRUE,-2.69166666666665,58.89708,1149416,TRUE,0.407794766769019,TRUE,3592901.18799832,4042541.9671751,1328765,TRUE,3592466,4042659,1328765,TRUE,450.649837442803,TRUE
UK9002181,TRUE,FALSE,-4.452222222,59.05722222,1119537,TRUE,-4.45833333333332,59.0554133333333,1119537,TRUE,0.404435319562945,TRUE,3496742.07277116,4079288.54313128,1270320,TRUE,3496466,4079659,1270320,TRUE,462.011327305159,TRUE
UK9002211,TRUE,FALSE,-1.885,57.632,1387648,FALSE,-1.87499999999998,57.6387466666667,1386082,TRUE,0.959886062826899,TRUE,3613902.63699353,3895637.5895637,1560605,FALSE,3614466,3895659,1560606,TRUE,563.769708161781,TRUE
UK9002221,TRUE,FALSE,-1.9475,57.324,1445624,TRUE,-1.94166666666665,57.32208,1445624,TRUE,0.411363824783103,TRUE,3604304.46027754,3862433.48669744,1612637,TRUE,3604466,3862659,1612637,TRUE,277.401030211885,TRUE
UK9002271,TRUE,FALSE,-2.182222222,56.91666667,1522393,TRUE,-2.17499999999998,56.9137466666667,1522393,TRUE,0.547039153434329,TRUE,3582426.85979963,3820091.63023357,1680426,TRUE,3582466,3819659,1680426,TRUE,434.3971389002,TRUE
UK9002361,TRUE,FALSE,-1.172222222,60,942663,FALSE,-1.17499999999998,60.0054133333333,941096,TRUE,0.622710452020628,TRUE,3699007.63284498,4149069.27076435,1161710,FALSE,3699466,4149659,1160133,TRUE,746.914332552748,TRUE
UK9002371,TRUE,FALSE,-3.0525,59.1872,1094549,FALSE,-3.04166666666665,59.1887466666667,1094550,TRUE,0.642771665365981,TRUE,3578227.86792763,4078038.82175647,1273556,TRUE,3578466,4077659,1273556,TRUE,448.298394570097,TRUE
UK9002381,TRUE,FALSE,-2.566666667,59.03333333,1124351,FALSE,-2.55833333333332,59.0304133333333,1124352,TRUE,0.578603511649956,TRUE,3602371.86693919,4056191.24030036,1306697,TRUE,3602466,4056659,1306697,TRUE,477.137474685713,TRUE
UK9002431,TRUE,FALSE,-2.724166667,59.24361111,1083600,TRUE,-2.72499999999998,59.24708,1083600,TRUE,0.389349147103315,TRUE,3597846.91508425,4080824.04472862,1268844,FALSE,3598466,4080659,1268845,TRUE,640.70733985928,TRUE
UK9002471,TRUE,FALSE,-2.2697,57.693600000000004,1375089,TRUE,-2.27499999999998,57.69708,1375089,TRUE,0.50011030199039,TRUE,3592492.62562785,3906269.08281293,1543237,TRUE,3592466,3906659,1543237,TRUE,390.825199843829,TRUE
UK9002491,TRUE,FALSE,-1.835,57.40083333,1431527,TRUE,-1.84166666666665,57.39708,1431527,TRUE,0.579106782352066,TRUE,3612441.91131999,3869750.80819888,1601606,TRUE,3612466,3869659,1601606,TRUE,94.915804194949,TRUE
UK9002511,TRUE,FALSE,-1.266388889,59.86,967730,TRUE,-1.25833333333331,59.8637466666667,967730,TRUE,0.614794564802203,TRUE,3691220.08874825,4134524.97607358,1183780,TRUE,3691466,4134659,1183780,TRUE,280.062058462339,TRUE
UK9003041,TRUE,FALSE,-6.425,56.487,1602055,FALSE,-6.42499999999999,56.4804133333333,1603622,TRUE,0.733434105457189,TRUE,3318565.98473257,3824765.57460616,1672277,FALSE,3318466,3825659,1670700,TRUE,899.00271473979,TRUE
UK9003091,TRUE,FALSE,-5.115833333,55.2525,1834050,TRUE,-5.10833333333332,55.2554133333333,1834050,TRUE,0.576754546923049,TRUE,3367512.17736323,3672484.55929825,1912030,FALSE,3367466,3671659,1913607,TRUE,826.849746810026,TRUE
UK9003171,TRUE,FALSE,-6.177777778,56.11222222,1672585,FALSE,-6.1916666666666504,56.1137466666667,1672584,TRUE,0.880547559805825,TRUE,3323733.76276097,3780576.49017134,1741670,TRUE,3323466,3780659,1741670,TRUE,280.187023236523,TRUE
